customer_id,application_date,age,gender,marital_status,education,num_dependents,city_tier,employment_type,annual_income,account_tenure_years,num_credit_cards,credit_score,has_defaulted_before,existing_loans_count,loan_purpose,loan_amount,loan_tenure_months,interest_rate,monthly_expenses,collateral_value,loan_default
CUST101576,2024-08-06,21,Female,Married,,1,Tier 2,Salaried,436421.0,1.0,1.0,537.0,0,1,Personal,127500.0,12,10.41,12519.0,,0
CUST106617,2024-05-28,64,Female,Married,High School,3,Tier 2,Salaried,347275.0,3.2,2.0,676.0,0,0,Personal,97500.0,48,12.46,12995.0,,0
CUST103611,2024-07-06,39,Female,Single,Post Graduate,1,Tier 3,Salaried,520069.0,0.2,2.0,633.0,0,1,Business,197300.0,60,12.86,20758.0,,1
CUST108576,2025-04-02,38,Male,Single,Post Graduate,0,Tier 1,Salaried,254959.0,0.8,2.0,498.0,0,0,Home,95400.0,84,6.5,,105621.0,1
CUST104553,2025-02-09,27,Male,Married,Graduate,0,Tier 1,Salaried,759034.0,5.4,2.0,,0,1,Personal,184200.0,12,13.5,19955.0,,0
CUST104856,2024-12-01,48,Male,Single,High School,1,Tier 1,Unemployed,107779.0,11.3,3.0,431.0,1,0,Personal,250100.0,240,13.81,3607.0,,1
CUST107786,2024-06-09,39,Female,Married,Graduate,0,Tier 1,Unemployed,153919.0,1.2,0.0,754.0,0,1,Home,84100.0,12,9.7,,131790.0,0
CUST106454,2024-11-30,21,Male,Single,High School,5,Tier 1,Salaried,277199.0,0.0,0.0,698.0,0,2,Personal,81300.0,60,13.21,10440.0,,0
CUST107927,2024-05-29,40,Male,Married,High School,2,Tier 1,Self-Employed,1083379.0,2.9,0.0,836.0,0,2,Auto,367400.0,120,8.67,30397.0,541713.0,0
CUST107714,2024-12-02,52,Male,Divorced,Graduate,1,Tier 2,Salaried,1102066.0,14.1,2.0,542.0,0,1,Home,115100.0,36,17.22,57522.0,156548.0,0
CUST103648,2025-04-03,47,Male,Married,Graduate,4,Tier 3,Salaried,861033.0,14.4,1.0,627.0,0,2,Business,146600.0,24,9.58,45304.0,,1
CUST104076,2024-10-16,34,Male,Married,Post Graduate,3,Tier 2,Business Owner,1364189.0,4.9,1.0,,0,0,Personal,218500.0,84,9.42,44633.0,,0
CUST103011,2024-03-14,53,Male,Widowed,High School,1,Tier 1,Salaried,335314.0,5.1,1.0,712.0,0,1,Auto,245000.0,120,15.53,14020.0,381952.0,0
CUST100587,2025-07-04,29,Male,Divorced,Post Graduate,1,Tier 1,Salaried,376696.0,0.9,3.0,792.0,0,1,Business,160700.0,60,10.86,14443.0,,0
CUST101264,2025-04-14,40,Male,Single,Doctorate,0,Tier 3,Self-Employed,1329910.0,7.6,2.0,765.0,0,0,Gold,72500.0,36,8.21,71593.0,108377.0,0
CUST100222,2025-06-27,46,Female,Married,Graduate,1,Tier 2,Salaried,371062.0,1.5,4.0,580.0,0,1,Business,70000.0,24,9.67,16332.0,,0
CUST100130,2025-12-24,21,Female,Married,Post Graduate,0,Tier 3,Self-Employed,810759.0,0.1,2.0,737.0,0,0,Personal,285900.0,24,14.1,43411.0,,0
CUST101085,2024-05-07,43,Male,Married,Doctorate,0,Tier 2,Self-Employed,500880.0,,3.0,562.0,0,0,Home,151400.0,24,13.91,18443.0,210369.0,1
CUST102052,2024-06-14,31,Female,Married,Graduate,1,Tier 2,Salaried,985301.0,0.4,3.0,682.0,0,0,Home,31400.0,48,12.17,31256.0,47259.0,0
CUST108654,2025-03-11,47,Male,Married,Doctorate,0,Tier 1,Unemployed,35332.0,0.2,2.0,850.0,0,1,Home,260900.0,48,11.12,1082.0,367226.0,0
CUST107234,2025-06-15,31,Male,Married,High School,4,Tier 2,Business Owner,805398.0,1.4,2.0,759.0,0,4,Gold,147600.0,24,7.8,26407.0,156027.0,0
CUST102802,2025-12-16,42,Male,Single,Post Graduate,0,Tier 3,Unemployed,110397.0,2.2,3.0,720.0,0,1,Home,66100.0,48,10.76,2326.0,67145.0,0
CUST101289,2024-03-04,21,Male,Single,Graduate,1,Tier 1,Business Owner,911442.0,1.1,1.0,683.0,0,1,Business,158900.0,84,7.48,20196.0,,0
CUST107014,2025-09-21,35,Female,Married,Post Graduate,1,Tier 1,Self-Employed,913281.0,1.4,5.0,,0,1,Auto,46900.0,120,12.88,29384.0,58719.0,0
CUST102282,2025-05-01,51,Male,Single,High School,2,Tier 3,Self-Employed,,1.3,0.0,862.0,0,0,Personal,522100.0,120,15.88,83756.0,,0
CUST106978,2025-01-09,55,Male,Single,Graduate,1,Tier 1,Unemployed,68898.0,8.5,4.0,686.0,0,1,Auto,213700.0,120,10.18,3194.0,253758.0,0
CUST109339,2024-03-31,38,Female,Married,Graduate,1,Tier 1,Salaried,1621761.0,1.2,3.0,741.0,0,0,Auto,100800.0,24,15.3,60537.0,140873.0,0
CUST105636,2025-08-20,61,Male,Married,Graduate,0,Tier 2,Salaried,686835.0,0.2,6.0,622.0,0,0,Auto,293400.0,60,9.66,26816.0,372692.0,0
CUST101961,2024-05-17,41,Male,Single,High School,2,Tier 2,Salaried,731701.0,5.4,2.0,678.0,1,3,Personal,218700.0,36,15.54,29907.0,,0
CUST100804,2024-05-22,33,Male,Divorced,Doctorate,0,Tier 3,Business Owner,,0.8,0.0,604.0,0,1,Education,137900.0,12,9.84,34045.0,,1
CUST105543,2024-10-31,36,Male,Single,Graduate,3,Tier 2,Unemployed,45628.0,15.1,3.0,623.0,0,3,Business,72500.0,60,11.09,2216.0,,1
CUST106303,2025-09-04,50,Male,Married,Graduate,1,Tier 2,Salaried,570356.0,2.7,3.0,532.0,0,1,Education,26100.0,48,8.8,23965.0,,0
CUST101879,2025-04-08,29,Female,Married,Post Graduate,2,Tier 2,Salaried,1328342.0,2.9,3.0,483.0,0,0,Personal,107900.0,12,11.82,43366.0,,0
CUST106217,2025-08-26,25,Female,Single,Graduate,2,Tier 1,Self-Employed,,0.5,1.0,777.0,0,1,Auto,192200.0,36,6.5,27419.0,296288.0,0
CUST102776,2025-01-16,35,Male,Widowed,Post Graduate,0,Tier 3,Salaried,713621.0,4.2,1.0,680.0,0,2,Business,211000.0,180,15.0,32041.0,,0
CUST102418,2024-02-04,42,Female,Divorced,Post Graduate,0,Tier 2,Business Owner,1061226.0,6.9,2.0,408.0,0,0,Personal,93900.0,48,10.26,56989.0,,1
CUST109944,2024-04-18,36,Female,Single,Post Graduate,5,Tier 3,Salaried,264688.0,2.8,1.0,655.0,0,0,Auto,269500.0,12,13.14,10895.0,272579.0,1
CUST104546,2025-12-27,37,Female,Single,Graduate,2,Tier 1,Business Owner,410184.0,2.5,0.0,756.0,0,0,Personal,300600.0,48,12.54,13059.0,,0
CUST105712,2024-03-12,47,Male,Widowed,Post Graduate,0,Tier 2,Business Owner,1071234.0,7.5,0.0,733.0,0,2,Business,189900.0,84,10.3,46129.0,,0
CUST109788,2024-01-01,21,Male,Married,Post Graduate,0,Tier 2,Self-Employed,358992.0,0.9,0.0,852.0,0,1,Home,68100.0,48,13.17,18928.0,70992.0,0
CUST104789,2025-02-19,36,Male,Married,Graduate,1,Tier 1,Salaried,1441423.0,0.9,5.0,753.0,0,0,Personal,84100.0,24,12.67,67391.0,,0
CUST104641,2024-10-29,39,Male,Married,Post Graduate,1,Tier 2,Salaried,1134644.043023394,1.5,2.0,818.0,0,0,Business,46500.0,120,13.14,53741.0,,0
CUST101170,2024-12-11,46,Male,Married,Graduate,0,Tier 3,Self-Employed,1097192.0,12.2,0.0,615.0,0,1,Home,89000.0,120,17.1,48279.0,111849.0,0
CUST107441,2024-02-06,69,Male,Single,Post Graduate,1,Tier 1,Salaried,273732.0,2.6,0.0,439.0,0,0,Auto,538200.0,36,11.8,6944.0,823770.0,1
CUST107521,2025-11-13,21,Male,Married,Post Graduate,3,Tier 1,Salaried,410503.0,2.0,3.0,668.0,0,0,Home,53000.0,48,13.98,17672.0,58927.0,0
CUST102226,2025-05-25,54,Male,Single,Graduate,1,Tier 1,Salaried,889972.0,2.2,0.0,675.0,0,1,Home,100700.0,84,6.93,21062.0,153995.0,0
CUST109575,2024-09-16,29,Female,Widowed,Post Graduate,1,Tier 3,Business Owner,727255.0,8.2,1.0,642.0,0,1,Gold,295400.0,12,17.08,31556.0,352095.0,0
CUST104740,2024-12-01,44,Male,Single,Graduate,1,Tier 1,Business Owner,390692.0,4.0,1.0,558.0,0,1,Personal,93100.0,36,12.57,16807.0,,1
CUST104184,2025-12-15,33,Female,Married,Graduate,0,Tier 1,Self-Employed,155646.0,1.0,1.0,732.0,0,1,Home,111200.0,24,6.5,5369.0,158810.0,0
CUST105928,2024-02-25,51,Male,Single,Post Graduate,1,Tier 2,Salaried,993704.0,2.4,2.0,755.0,0,2,Home,232400.0,48,15.6,,261045.0,0
CUST107902,2025-10-26,42,Female,Married,High School,1,Tier 2,Salaried,135405.0,2.6,1.0,793.0,0,0,Home,184900.0,240,10.63,5545.0,249354.0,0
CUST105772,2024-11-14,46,Male,Married,Graduate,1,Tier 2,Salaried,477883.0,0.9,3.0,748.0,0,1,Education,198800.0,60,14.45,12528.0,,0
CUST100536,2025-09-27,29,Male,Married,High School,1,Tier 1,Self-Employed,986155.0,6.0,4.0,765.0,0,2,Personal,266000.0,24,6.5,33803.0,,0
CUST103964,2025-08-25,31,Male,Married,Post Graduate,0,Tier 1,Self-Employed,398479.0,2.2,1.0,671.0,0,0,Auto,44200.0,24,7.46,13472.0,58913.0,0
CUST101167,2025-11-27,44,Female,Married,High School,1,Tier 2,Self-Employed,870080.0,2.0,3.0,615.0,0,1,Personal,247600.0,12,10.4,32609.0,,0
CUST104591,2024-03-04,40,Female,Single,Graduate,3,Tier 2,Salaried,738657.0,,3.0,814.0,0,1,Business,120700.0,84,14.44,38472.0,,0
CUST102844,2024-01-07,40,Female,Married,Graduate,1,Tier 2,Salaried,1372262.0,6.5,1.0,677.0,0,3,Education,576800.0,36,8.84,68329.0,,0
CUST108737,2024-09-19,35,Female,Married,Doctorate,0,Tier 1,Salaried,335375.0,0.5,1.0,502.0,0,0,Business,166800.0,120,14.71,8063.0,,0
CUST100921,2024-01-25,27,Male,Single,High School,0,Tier 2,Self-Employed,125860.0,6.0,1.0,757.0,0,0,Gold,106200.0,180,12.24,4874.0,122654.0,0
CUST109774,2025-02-18,35,Male,Married,Graduate,3,Tier 1,Salaried,903275.0,0.5,2.0,707.0,0,0,Personal,177600.0,84,9.69,23197.0,,0
CUST108628,2024-03-14,45,Male,Single,Graduate,0,Tier 1,Self-Employed,888935.0,0.7,1.0,854.0,0,1,Home,203800.0,24,6.5,19095.0,205674.0,0
CUST109875,2025-11-20,38,Female,Single,,4,Tier 2,Salaried,473994.0,4.9,1.0,655.0,0,2,Personal,39200.0,36,12.75,21645.0,,1
CUST108422,2025-11-21,31,Female,Single,Graduate,1,Tier 2,Business Owner,593580.0,1.5,1.0,733.0,0,0,Education,171400.0,180,14.76,20169.0,,0
CUST106546,2024-02-05,21,Male,Married,Graduate,3,Tier 2,Salaried,772338.0,1.0,1.0,504.0,0,0,Personal,83100.0,24,13.35,34126.0,,0
CUST102864,2024-09-28,42,Female,Married,Post Graduate,0,Tier 1,Unemployed,65865.0,2.6,3.0,601.0,1,2,Auto,123900.0,48,9.05,1851.0,133312.0,1
CUST101768,2024-07-02,39,Female,Married,High School,2,Tier 1,Business Owner,663664.0,0.0,1.0,664.0,0,0,Personal,39900.0,60,14.1,21908.0,,0
CUST108387,2025-08-14,42,Male,Widowed,Graduate,2,Tier 3,Salaried,275528.0,9.3,0.0,703.0,0,0,Personal,98600.0,180,9.44,12206.0,,0
CUST102874,2025-05-30,38,Male,Married,High School,1,Tier 2,Self-Employed,1345200.0,14.1,1.0,575.0,0,0,Personal,204900.0,48,6.5,68625.0,,0
CUST104175,2025-10-02,43,Female,Single,High School,0,Tier 1,Business Owner,652808.0,0.3,1.0,615.0,0,0,Auto,313500.0,12,14.88,22301.0,353479.0,0
CUST108529,2024-09-08,33,Female,Divorced,High School,1,Tier 1,Salaried,291710.0,0.6,3.0,715.0,0,3,Business,93700.0,36,12.06,13034.0,,0
CUST108296,2025-04-29,60,Female,Single,Graduate,3,Tier 3,Self-Employed,384400.0,12.6,4.0,656.0,0,2,Auto,54200.0,84,12.92,11898.0,81825.0,0
CUST108564,2024-09-06,21,Female,Single,High School,1,Tier 3,Salaried,282434.0,5.9,1.0,620.0,0,1,Home,116400.0,48,17.22,8165.0,147138.0,1
CUST101806,2024-06-21,41,Male,Divorced,Graduate,2,Tier 1,Salaried,780487.0,1.4,1.0,549.0,0,1,Auto,190500.0,24,14.41,28579.0,232195.0,0
CUST109267,2025-02-16,21,Male,Married,Post Graduate,0,Tier 3,Salaried,256802.0,4.4,1.0,687.0,0,1,Home,404800.0,120,11.86,11123.0,524441.0,0
CUST103211,2025-05-28,25,Male,Married,Post Graduate,2,Tier 3,Salaried,156811.0,6.6,0.0,785.0,0,0,Home,278700.0,12,16.65,6590.0,366589.0,0
CUST101633,2024-02-24,49,Female,Married,,2,Tier 1,Self-Employed,787530.0,1.9,1.0,560.0,0,0,Personal,155100.0,60,6.5,25110.0,,0
CUST104269,2025-09-15,48,Male,Married,Graduate,2,Tier 1,Salaried,946450.0,2.2,2.0,720.0,0,0,Personal,280800.0,60,9.77,50598.0,,0
CUST100676,2024-08-09,26,Male,Married,Graduate,2,Tier 2,Self-Employed,615046.0,1.6,2.0,700.0,0,1,Education,246700.0,48,8.74,20279.0,,0
CUST107997,2024-02-22,29,Female,Divorced,Post Graduate,0,Tier 3,Salaried,750199.0,4.4,5.0,668.0,0,1,Gold,325800.0,120,11.0,16166.0,400509.0,0
CUST104173,2025-01-16,27,Female,Single,High School,1,Tier 3,Self-Employed,414206.0,0.6,0.0,775.0,0,2,Personal,56500.0,12,11.62,8826.0,,0
CUST100254,2025-07-15,21,Male,Single,Graduate,1,Tier 1,Salaried,565497.0,0.4,1.0,590.0,0,1,Business,90600.0,36,11.73,28298.0,,1
CUST105073,2025-09-08,21,Male,Married,Post Graduate,0,Tier 3,Self-Employed,612691.0,23.1,2.0,690.0,0,2,Personal,56400.0,24,11.73,30632.0,,0
CUST108801,2025-09-17,25,Male,Single,Graduate,1,Tier 1,Salaried,419581.0,2.2,2.0,629.0,0,1,Gold,255000.0,48,11.32,11541.0,373639.0,0
CUST101759,2024-04-03,52,Male,Divorced,Post Graduate,1,Tier 3,Salaried,714782.0,9.9,0.0,603.0,0,1,Home,172100.0,12,13.95,18745.0,177648.0,0
CUST102080,2025-01-18,38,Male,Married,Post Graduate,0,Tier 1,Salaried,321501.0,0.5,4.0,835.0,0,1,Personal,318100.0,36,16.69,12749.0,,0
CUST105619,2024-07-12,36,Female,Single,High School,0,Tier 2,Salaried,597392.0,3.8,1.0,698.0,0,0,Home,453200.0,24,8.77,23405.0,631972.0,0
CUST103701,2024-06-09,54,Male,Married,High School,1,Tier 1,Self-Employed,311292.0,0.7,0.0,676.0,0,2,Auto,167000.0,36,13.86,13927.0,237564.0,1
CUST107981,2025-10-24,32,Female,Single,Post Graduate,0,Tier 3,Salaried,,1.8,0.0,761.0,0,2,Business,268000.0,240,11.93,10035.0,,0
CUST103281,2025-09-06,38,Female,Married,High School,0,Tier 1,Salaried,,1.7,1.0,752.0,0,2,Education,78900.0,60,11.35,21352.0,,1
CUST109330,2025-12-12,54,Female,Single,Graduate,1,Tier 2,Business Owner,1199569.0,0.1,1.0,755.0,0,1,Home,128500.0,12,11.21,50884.0,191476.0,0
CUST102663,2025-08-15,28,Female,Married,High School,1,Tier 1,Self-Employed,302364.0,2.6,2.0,765.0,1,4,Personal,496500.0,60,12.19,10468.0,,1
CUST104599,2024-02-18,52,Male,Married,High School,3,Tier 1,Salaried,448457.0,0.7,3.0,717.0,0,1,Auto,72800.0,24,11.08,9642.0,87067.0,1
CUST103315,2025-08-01,43,Female,Widowed,Graduate,1,Tier 1,Salaried,275556.0,5.3,0.0,559.0,0,0,Personal,87700.0,24,10.81,9656.0,,0
CUST104228,2025-05-04,41,Male,Single,Graduate,2,Tier 2,Self-Employed,1455027.0,0.6,2.0,705.0,0,1,Personal,331400.0,84,20.05,33262.0,,0
CUST106122,2025-08-23,30,Female,Married,Graduate,1,Tier 1,Self-Employed,1240979.0,5.4,5.0,840.0,0,1,Home,66100.0,60,11.17,61201.0,101111.0,0
CUST100600,2024-04-03,46,Female,Married,High School,0,Tier 1,Salaried,614995.0,1.0,1.0,704.0,0,3,Auto,96600.0,120,12.06,20052.0,122085.0,0
CUST103065,2024-03-22,42,Male,Married,Post Graduate,4,Tier 1,Self-Employed,565644.0,1.6,2.0,575.0,0,2,Business,20000.0,36,10.97,27170.0,,1
CUST106679,2025-09-08,32,Female,Married,Graduate,3,Tier 2,Self-Employed,1271179.0,1.6,3.0,710.0,0,1,Education,364000.0,60,11.38,26918.0,,0
CUST109726,2024-10-01,38,Male,Married,Post Graduate,1,Tier 2,Salaried,658789.0,3.5,0.0,591.0,0,2,Home,40900.0,36,13.12,27642.0,53067.0,0
CUST104280,2025-01-28,61,Male,Single,Graduate,0,Tier 3,Self-Employed,585088.0,1.1,1.0,778.0,0,1,Business,124600.0,36,12.38,30869.0,,0
CUST100286,2024-11-26,36,Male,Single,Graduate,2,Tier 3,Business Owner,1346400.0,2.6,,777.0,0,1,Home,125100.0,48,11.47,66715.0,172159.0,0
CUST102053,2025-12-05,35,Male,Single,High School,1,Tier 2,Salaried,621024.0,11.9,1.0,472.0,1,3,Home,167400.0,48,12.08,32170.0,220332.0,1
CUST105769,2025-04-30,21,Female,Married,Graduate,1,Tier 1,Salaried,422420.0,20.8,1.0,828.0,0,0,Personal,47300.0,84,13.31,17577.0,,0
CUST105039,2025-04-17,42,Male,Married,Graduate,1,Tier 2,Self-Employed,411135.0,,1.0,653.0,0,1,Auto,139100.0,48,14.47,20959.0,203172.0,0
CUST102430,2025-03-27,44,Female,Married,High School,1,Tier 3,Salaried,,8.7,1.0,633.0,0,2,Personal,583900.0,36,10.69,18404.0,,0
CUST105299,2024-02-24,41,Male,Married,Post Graduate,3,Tier 3,Self-Employed,766863.0,10.7,1.0,795.0,0,1,Personal,62700.0,84,12.17,16734.0,,0
CUST106599,2025-10-22,57,Female,Single,Graduate,1,Tier 1,Salaried,282637.0,1.8,2.0,589.0,0,1,Education,511800.0,120,7.7,10181.0,,0
CUST102432,2025-04-19,38,Male,Single,Post Graduate,2,Tier 3,Salaried,298125.0,3.4,1.0,724.0,0,1,Business,175100.0,24,13.17,7242.0,,0
CUST108607,2025-10-27,57,Male,Widowed,Post Graduate,2,Tier 1,Self-Employed,376848.0,4.5,4.0,608.0,0,3,Auto,98000.0,36,12.3,13938.0,111825.0,0
CUST103144,2024-12-13,43,Female,Single,Graduate,2,Tier 3,Salaried,401593.0,3.9,1.0,759.0,0,0,Auto,31000.0,84,10.81,15991.0,45339.0,0
CUST103223,2024-09-15,46,Male,Single,Graduate,0,Tier 1,Self-Employed,419986.0,0.2,1.0,693.0,0,2,Gold,186600.0,60,9.75,10073.0,259134.0,0
CUST108089,2025-01-18,32,Female,Widowed,High School,1,Tier 1,Self-Employed,333250.0,2.3,4.0,530.0,0,4,Personal,128600.0,36,10.63,10725.0,,1
CUST100278,2025-06-05,39,Male,Married,Post Graduate,0,Tier 2,Self-Employed,622209.0,1.3,2.0,630.0,0,0,Home,111800.0,36,11.52,28315.0,161869.0,0
CUST104537,2025-11-03,35,Male,Married,Post Graduate,1,Tier 2,Salaried,422994.0,12.1,1.0,575.0,0,0,Home,420600.0,180,11.09,17074.0,444977.0,0
CUST106618,2025-10-27,22,Female,Married,Graduate,1,Tier 2,Salaried,956650.0,6.1,1.0,675.0,0,2,Personal,152400.0,60,7.25,51438.0,,0
CUST103086,2024-08-22,37,Female,Married,Graduate,1,Tier 1,Salaried,445055.0,2.6,4.0,674.0,0,1,Business,83900.0,180,20.1,11332.0,,0
CUST106751,2024-04-09,30,Female,Single,Graduate,0,Tier 3,Salaried,284567.0,3.5,0.0,726.0,0,1,Education,118800.0,48,11.75,13318.0,,0
CUST104363,2024-10-23,51,Male,Single,Graduate,2,Tier 1,Salaried,156093.0,2.0,0.0,660.0,0,2,Personal,119300.0,120,11.64,4491.0,,0
CUST107254,2024-06-11,46,Male,Married,Graduate,3,Tier 1,Business Owner,1217934.0,9.3,2.0,738.0,0,1,Home,30400.0,48,8.16,47464.0,41246.0,0
CUST108246,2024-02-01,38,Male,Married,High School,0,Tier 1,Salaried,949235.0,5.7,2.0,643.0,0,3,Personal,48200.0,180,14.11,24557.0,,0
CUST106296,2024-01-16,28,Male,Single,Graduate,2,Tier 3,Salaried,1028843.0,1.8,2.0,396.0,1,1,Education,33100.0,84,14.7,29571.0,,1
CUST100763,2024-06-10,37,Female,Married,Post Graduate,2,Tier 1,Salaried,5576350.271660747,1.0,,550.0,0,1,Auto,34000.0,120,11.99,179367.0,45280.0,0
CUST106202,2025-06-20,63,Male,Divorced,Post Graduate,3,Tier 1,Business Owner,363020.0,1.8,1.0,632.0,0,1,Auto,370400.0,36,12.27,8395.0,546045.0,0
CUST106370,2024-08-31,35,Female,Married,Post Graduate,1,Tier 2,Salaried,420181.0,10.9,1.0,811.0,0,0,Gold,155000.0,36,12.74,16548.0,169503.0,0
CUST104067,2024-12-31,41,Female,Married,Graduate,1,Tier 2,Self-Employed,344661.0,13.1,4.0,763.0,0,0,Education,56300.0,120,17.23,15426.0,,0
CUST108656,2024-06-18,34,Female,Divorced,Post Graduate,3,Tier 2,Salaried,,3.5,1.0,863.0,0,0,Personal,79500.0,12,9.45,9221.0,,0
CUST103614,2024-03-12,46,Female,Married,High School,0,Tier 2,Salaried,1109198.0,9.4,1.0,,0,2,Gold,154700.0,180,14.61,45290.0,194559.0,0
CUST103484,2025-09-25,27,Male,Single,Graduate,2,Tier 1,Salaried,1766643.0,3.6,0.0,806.0,0,0,Education,66200.0,12,14.54,94652.0,,0
CUST105883,2025-07-13,21,Female,Married,High School,4,Tier 1,Salaried,162631.0,2.6,2.0,695.0,0,1,Auto,81500.0,36,13.34,8763.0,104391.0,0
CUST101851,2024-02-26,58,Male,Divorced,High School,1,Tier 2,Salaried,1167972.0,3.2,2.0,694.0,0,1,Auto,74300.0,24,8.74,39479.0,83657.0,0
CUST107294,2025-12-30,39,Female,Single,High School,0,Tier 1,Salaried,351760.0,6.4,0.0,497.0,0,1,Auto,286700.0,60,13.43,11800.0,379524.0,1
CUST108155,2024-12-18,34,Male,Married,Graduate,0,Tier 3,Salaried,1228084.0,0.0,1.0,795.0,1,2,Personal,114600.0,24,6.84,37192.0,,1
CUST107252,2024-10-27,50,Male,Married,Graduate,1,Tier 2,Salaried,1984561.0,5.5,1.0,638.0,1,2,Home,95300.0,60,9.24,55966.0,143028.0,1
CUST101893,2024-09-19,37,Male,Divorced,Graduate,1,Tier 1,Salaried,344697.0,2.2,2.0,701.0,0,2,Personal,121300.0,36,9.53,13503.0,,0
CUST106661,2024-04-14,31,Male,Married,Post Graduate,2,Tier 1,Self-Employed,1642469.0,1.6,3.0,,0,0,Gold,229400.0,48,7.82,72865.0,239196.0,0
CUST106070,2025-05-07,44,Female,Single,Graduate,1,Tier 1,Business Owner,518247.0,0.9,2.0,733.0,0,1,Auto,188400.0,84,10.76,16062.0,196418.0,0
CUST106251,2025-02-08,34,Other,Married,High School,0,Tier 1,Self-Employed,,3.4,4.0,792.0,0,1,Personal,194700.0,48,9.89,24615.0,,0
CUST104778,2024-09-23,26,Male,Divorced,Post Graduate,0,Tier 1,Salaried,855600.0,1.2,0.0,635.0,0,0,Home,166000.0,12,15.13,19055.0,254149.0,0
CUST101572,2024-07-22,41,Female,Married,High School,1,Tier 1,Self-Employed,900985.0,2.5,2.0,759.0,0,0,Business,123300.0,120,6.5,27224.0,,0
CUST104980,2024-03-05,25,Male,Married,Graduate,0,Tier 3,Salaried,316391.0,1.1,0.0,585.0,0,2,Business,169100.0,120,11.33,16456.0,,1
CUST100589,2025-04-28,29,Male,Single,Graduate,3,Tier 2,Salaried,261703.0,1.7,0.0,640.0,0,1,Personal,138700.0,84,9.5,13474.0,,0
CUST103906,2025-08-06,53,Male,Widowed,High School,1,Tier 1,Salaried,463664.0,0.9,2.0,483.0,0,0,Auto,129800.0,48,9.77,20435.0,191696.0,0
